1.2800000e+02_C_   1.7900000e+02_C
 -1.6876310  -25.8302872
 -3.2775968  -25.8302872
 -4.8232844  -25.8302872
 -5.8560122  -25.8302872
 -6.6273871   26.1697128
 -7.2656025   26.1697128
 -6.8551733   26.1697128
 -5.1748596   26.1697128
 -2.8475398   26.1697128
 -0.4357704   26.1697128
  1.7738262  -25.8302872
  3.3900156  -25.8302872
  3.7230641   26.1697128
  2.6667523   26.1697128
  1.8833615  -25.8302872
  2.2198239  -25.8302872
  2.1460514  -25.8302872
  1.1276644  -25.8302872
 -0.6172038   26.1697128
 -2.2418142   26.1697128
 -2.5791531  -25.8302872
 -1.7702274  -25.8302872
 -1.3580797  -25.8302872
 -2.1288904  -25.8302872
 -3.2572185  -25.8302872
 -4.5677016  -25.8302872
 -5.7257928   26.1697128
 -6.5610403   26.1697128
 -6.4961988   26.1697128
 -4.7467621   26.1697128
 -2.3842241  -25.8302872
 -0.4449110  -25.8302872
  0.2979690   26.1697128
 -0.0591336   26.1697128
  0.0041226  -25.8302872
  0.7719516  -25.8302872
  0.9179605   26.1697128
  0.0115521   26.1697128
 -0.4502630   26.1697128
  0.5404422   26.1697128
  2.0260065  -25.8302872
  3.2733015  -25.8302872
  3.6635983   26.1697128
  2.6364545   26.1697128
  1.8679247   26.1697128
  2.4571588   26.1697128
  3.4929736   26.1697128
  4.7563212   26.1697128
  5.8903968   26.1697128
  6.7134084   26.1697128
  7.6231327   26.1697128
  8.3318373   26.1697128
  8.9381223  -25.8302872
  9.2470245  -25.8302872
  8.4236101   26.1697128
  6.5328805   26.1697128
  5.0791538   26.1697128
  5.0740800   26.1697128
  5.8070950  -25.8302872
  6.4257661  -25.8302872
  6.0053790  -25.8302872
  4.3199918  -25.8302872
  1.9900870   26.1697128
 -0.1777995   26.1697128
 -1.0371377   26.1697128
 -0.2489705   26.1697128
  1.3786007  -25.8302872
  2.6982482  -25.8302872
  2.8802087  -25.8302872
  1.7469175  -25.8302872
 -0.0564944  -25.8302872
 -1.9561327  -25.8302872
 -3.6595984   26.1697128
 -4.7727142   26.1697128
 -4.6042467  -25.8302872
 -3.2924125  -25.8302872
 -2.3788330   26.1697128
 -2.6489642   26.1697128
 -2.5413961   26.1697128
 -1.2605901   26.1697128
  0.3727805   26.1697128
  2.1857828   26.1697128
  3.8451075  -25.8302872
  4.9357335  -25.8302872
  4.7558074  -25.8302872
  3.4381350  -25.8302872
  1.5407810  -25.8302872
 -0.6519209  -25.8302872
 -2.7499025  -25.8302872
 -4.5544242  -25.8302872
 -5.7190279  -25.8302872
 -6.5575936  -25.8302872
 -7.4752427   26.1697128
 -7.9427850   26.1697128
 -7.4453978  -25.8302872
 -5.9659790  -25.8302872
 -4.7218151  -25.8302872
 -4.5783136  -25.8302872
 -5.2407996  -25.8302872
 -6.0687362  -25.8302872
